task,method,points,memory,params
task274,unsolved,0.0,0,0
task275,unsolved,0.0,0,0
task276,unsolved,0.0,0,0
task277,unsolved,0.0,0,0
task278,unsolved,0.0,0,0
task279,unsolved,0.0,0,0
task280,unsolved,0.0,0,0
task281,unsolved,0.0,0,0
task282,unsolved,0.0,0,0
task283,unsolved,0.0,0,0
task284,unsolved,0.0,0,0
task285,unsolved,0.0,0,0
task286,unsolved,0.0,0,0
task287,unsolved,0.0,0,0
task288,unsolved,0.0,0,0
task289,unsolved,0.0,0,0
task290,unsolved,0.0,0,0
task291,unsolved,0.0,0,0
task292,unsolved,0.0,0,0
task293,unsolved,0.0,0,0
task294,unsolved,0.0,0,0
task295,unsolved,0.0,0,0
task296,unsolved,0.0,0,0
task297,unsolved,0.0,0,0
task298,unsolved,0.0,0,0
task299,unsolved,0.0,0,0
task300,unsolved,0.0,0,0
task301,unsolved,0.0,0,0
task302,unsolved,0.0,0,0
task303,unsolved,0.0,0,0
task304,unsolved,0.0,0,0
task305,unsolved,0.0,0,0
task306,unsolved,0.0,0,0
task307,unsolved,0.0,0,0
task308,unsolved,0.0,0,0
task309,unsolved,0.0,0,0
task310,unsolved,0.0,0,0
task311,unsolved,0.0,0,0
task312,unsolved,0.0,0,0
task313,unsolved,0.0,0,0
task314,unsolved,0.0,0,0
task315,unsolved,0.0,0,0
task316,unsolved,0.0,0,0
task317,unsolved,0.0,0,0
task318,unsolved,0.0,0,0
task319,unsolved,0.0,0,0
task320,unsolved,0.0,0,0
task321,unsolved,0.0,0,0
task322,unsolved,0.0,0,0
task323,unsolved,0.0,0,0
task324,unsolved,0.0,0,0
task325,unsolved,0.0,0,0
task326,unsolved,0.0,0,0
task327,unsolved,0.0,0,0
task328,unsolved,0.0,0,0
task329,unsolved,0.0,0,0
task330,unsolved,0.0,0,0
task331,unsolved,0.0,0,0
task332,unsolved,0.0,0,0
task333,unsolved,0.0,0,0
task334,unsolved,0.0,0,0
task335,unsolved,0.0,0,0
task336,unsolved,0.0,0,0
task337,color_permute,22.697,0,10
task338,unsolved,0.0,0,0
task339,unsolved,0.0,0,0
task340,unsolved,0.0,0,0
task341,unsolved,0.0,0,0
task342,unsolved,0.0,0,0
task343,unsolved,0.0,0,0
task344,unsolved,0.0,0,0
